EHDSAddress; ; 0..*; EHDS refined base model for Address structure; ;   ; Address model 
EHDSAllergyIntoleranceObligations; nifestation; 0..*; Description of the clinical manifestation of the allergic reaction. Example: anaphylactic shock, angioedema. (the clinical manifestation also gives information about the severity of the observed reaction).; CodeableConcept; ICD-10, SNOMED CT (preferred)  ; Description of the clinical manifestation of the allergic reaction. Example: anaphylactic shock, angioedema. (the clinical manifestation also gives information about the severity of the observed reaction). 
EHDSAllergyIntoleranceObligations; verity; 0..1; Severity of the clinical manifestation of the allergic reaction.; CodeableConcept; SNOMED CT, HL7 reaction event severity (preferred)  ; Severity of the clinical manifestation of the allergic reaction. 
EHDSAllergyIntoleranceObligations; set; 0..1; Date and time of the onset of the reaction; dateTime;   ; Date and time of the onset of the reaction 
EHDSAttachment; ; 0..*; This model is for containing or referencing attachments - additional data content defined in other formats. The most common use of this type is to include images or reports in some report format such as PDF. However, it can be used for any data that has a MIME type.; ;   ; Attachment model 
EHDSAttachment; contentType; 0..1; Mime type of the content, with charset etc.; CodeableConcept; BCP-13 (preferred)  ; Mime type of the content, with charset etc. 
EHDSAttachment; language; 0..1; Human language of the content; CodeableConcept; BCP 47 (preferred)  ; Human language of the content 
EHDSAttachment; data; 0..1; The actual data of the attachment - a sequence of bytes, base64 encoded.; base64Binary;   ; The actual data of the attachment - a sequence of bytes, base64 encoded. 
EHDSAttachment; url; 0..1; A location where the data can be accessed.; uri;   ; A location where the data can be accessed. 
EHDSAttachment; size; 0..1; The number of bytes of data that make up this attachment (before base64 encoding).; integer64;   ; The number of bytes of data that make up this attachment (before base64 encoding). 
EHDSAttachment; title; 0..1; A label or set of text to display in place of the data.; string;   ; A label or set of text to display in place of the data. 
EHDSBodyStructure; ; 0..*; Model for body structure; ;   ; Body structure model 
EHDSBodyStructure; morphology; 0..1; The kind of structure being represented by the body structure at BodyStructure.location. This can define both normal and abnormal morphologies.; CodeableConcept; SNOMED CT (preferred)  ; The kind of structure being represented by the body structure at BodyStructure.location. This can define both normal and abnormal morphologies. 
EHDSBodyStructure; location; 0..1; Body site; CodeableConcept; SNOMED CT (preferred)  ; Body site 
EHDSBodyStructure; locationQualifier; 0..*; Additional qualifier of the body structure (e.g. upper, lower, distal, proximal).; CodeableConcept; SNOMED CT (preferred)  ; Additional qualifier of the body structure (e.g. upper, lower, distal, proximal). 
EHDSBodyStructure; laterality; 0..1; Body structure laterality (e.g. left, right).; CodeableConcept; SNOMED CT (preferred)  ; Body structure laterality (e.g. left, right). 
EHDSBodyStructure; description; 0..1; Textual description of the body structure; string;   ; Textual description of the body structure 
EHDSBodyStructureLaboratoryObligations; ; 0..*; Model for body structure; ;   ; Body structure model 
EHDSBodyStructureLaboratoryObligations; ; 0..1; The kind of structure being represented by the body structure at BodyStructure.location. This can define both normal and abnormal morphologies.; CodeableConcept; SNOMED CT (preferred)  ; The kind of structure being represented by the body structure at BodyStructure.location. This can define both normal and abnormal morphologies. 
EHDSBodyStructureLaboratoryObligations; ; 0..1; Body site; CodeableConcept; SNOMED CT (preferred)  ; Body site 
EHDSBodyStructureLaboratoryObligations; ; 0..*; Additional qualifier of the body structure (e.g. upper, lower, distal, proximal).; CodeableConcept; SNOMED CT (preferred)  ; Additional qualifier of the body structure (e.g. upper, lower, distal, proximal). 
EHDSBodyStructureLaboratoryObligations; ; 0..1; Body structure laterality (e.g. left, right).; CodeableConcept; SNOMED CT (preferred)  ; Body structure laterality (e.g. left, right). 
EHDSBodyStructureLaboratoryObligations; ; 0..1; Textual description of the body structure; string;   ; Textual description of the body structure 
EHDSCarePlan; ; 0..*; Simplified model for care plan. The model includes minimal information and is not designed to cover the full functionality of care plans. The model is applicable to different domains.; ;   ; Care plan model 
EHDSCarePlan; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSCarePlan; header.subject; 1..1; The patient whose intended care is described in the plan.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; The patient whose intended care is described in the plan. 
EHDSCarePlan; header.identifier; 0..*; Identifier for the care plan; Identifier;   ; Identifier for the care plan 
EHDSCarePlan; header.author[x]; 0..*; The responsible party (custodian) for the care plan.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The responsible party (custodian) for the care plan. 
EHDSCarePlan; header.author[x]; 0..*; The responsible party (custodian) for the care plan.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The responsible party (custodian) for the care plan. 
EHDSCarePlan; header.author[x]; 0..*; The responsible party (custodian) for the care plan.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The responsible party (custodian) for the care plan. 
EHDSCarePlan; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSCarePlan; header.status; 1..1; Indicates whether the plan is currently being acted upon, represents future intentions, or is now a historical record.; CodeableConcept; HL7 Request status (preferred)  ; Indicates whether the plan is currently being acted upon, represents future intentions, or is now a historical record. 
EHDSCarePlan; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSCarePlan; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSCarePlan; title; 0..1; Human-friendly name for the care plan; string;   ; Human-friendly name for the care plan 
EHDSCarePlan; description; 0..1; A description of the scope and nature of the plan.; string;   ; A description of the scope and nature of the plan. 
EHDSCarePlan; period; 0..1; Indicates when the plan did (or is intended to) come into effect and end.; Period;   ; Indicates when the plan did (or is intended to) come into effect and end. 
EHDSCarePlan; addresses[x]; 0..*; Conditions/problems/concerns/diagnoses/etc whose management and/or mitigation are handled by this plan.; CodeableConcept; ICD-10, SNOMED CT, Orphacode (preferred)  ; Conditions/problems/concerns/diagnoses/etc whose management and/or mitigation are handled by this plan. 
EHDSCarePlan; addresses[x]; 0..*; Conditions/problems/concerns/diagnoses/etc whose management and/or mitigation are handled by this plan.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition; ICD-10, SNOMED CT, Orphacode (preferred)  ; Conditions/problems/concerns/diagnoses/etc whose management and/or mitigation are handled by this plan. 
EHDSCarePlan; activity[x]; 0..*; The details of the proposed activity represented in a specific resource.; CodeableConcept;   ; The details of the proposed activity represented in a specific resource. 
EHDSCarePlan; activity[x]; 0..*; The details of the proposed activity represented in a specific resource.; Reference;   ; The details of the proposed activity represented in a specific resource. 
EHDSCarePlan; goal; 0..*; Describes the intended objective(s) of carrying out the care plan.; CodeableConcept;   ; Describes the intended objective(s) of carrying out the care plan. 
EHDSCondition; ; 0..*; Model for a clinical condition, problem, diagnosis, or other event, situation, or issue that has risen to a level of concern.; ;   ; Condition model 
EHDSCondition; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information 
EHDSCondition; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information 
EHDSCondition; header.identifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). 
EHDSCondition; header.author[x]; 0..*; The author of the condition information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The author of the condition information. 
EHDSCondition; header.author[x]; 0..*; The author of the condition information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The author of the condition information. 
EHDSCondition; header.author[x]; 0..*; The author of the condition information.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The author of the condition information. 
EHDSCondition; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing 
EHDSCondition; header.status; 1..1; Status of the condition/problem (e.g. active, resolved, inactive, etc); CodeableConcept; HL7 Condition Clinical Status Codes (preferred)  ; Status of the condition/problem (e.g. active, resolved, inactive, etc) 
EHDSCondition; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. 
EHDSCondition; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. 
EHDSCondition; problem; 1..1; Code identifying the condition, problem or diagnosis; CodeableConcept; ICD-10, SNOMED CT, ICD-O, Orphacode if rare disease is diagnosed (preferred)  ; Code identifying the condition, problem or diagnosis 
